FO,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22,2022-09-23,2022-09-24,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02
Дальневосточный федеральный округ,1.1602833883102321,1.1585257044595494,1.1569415276811523,1.155435935052321,1.153698626818426,1.152140801620367,1.1506728428809414,1.149289413944422,1.1481050724172053,1.146968416846595,1.1459287706194636,1.144770737558746,1.1437234008511727,1.142853945839321,1.142035299998882
Приволжский федеральный округ,2.1011241814845407,2.093797461508877,2.087225331806044,2.080860459539608,2.074348130379906,2.0675253117098475,2.0609441680236906,2.0544006061942515,2.0484665860522977,2.042898575284334,2.0374529462014324,2.0319632766585127,2.026880390546242,2.022429143977715,2.0184697795752253
Северо-Западный федеральный округ,1.7394311229903339,1.735872074762981,1.7326525487570101,1.7292315558079776,1.72567730240416,1.7218457226232529,1.7183758456020315,1.7152533687997795,1.7126470702210934,1.710769139183236,1.7088286309041907,1.7069922908015198,1.7051489030814235,1.7032353066510102,1.7016559040440447
Северо-Кавказский федеральный округ,2.8427366473860767,2.8370980490753386,2.833301523600243,2.8274613754707434,2.8210209963511397,2.8141314331174305,2.807295391846327,2.801792630636173,2.797478061989725,2.795308492550647,2.7908275511930953,2.7859990539901345,2.7814270223232582,2.7776234185901227,2.773826218845741
Сибирский федеральный округ,2.1896556382908914,2.1843633463926726,2.179951247219426,2.1755251267547338,2.171195866482806,2.167158299372125,2.1632544667630564,2.159198370294446,2.1554672659948717,2.1522487812772386,2.149079360760489,2.145983260500619,2.142818136796139,2.139874371091721,2.136984167133204
Уральский федеральный округ,1.7811475944656905,1.7753563940042338,1.7702184119079523,1.7649394966619172,1.759252080264313,1.7531476416828125,1.7468514533925734,1.7408001781059546,1.7349166221911065,1.7295509592815939,1.724537037037037,1.7201605181914104,1.716176200099153,1.7125684760048412,1.7093141279290445
Центральный федеральный округ,1.6557010459646015,1.653196200670641,1.6505916017169338,1.647144492497392,1.6438204434053854,1.6407851737496302,1.638075024622314,1.6359148068602285,1.6341690652268177,1.6326770505045582,1.630633118997291,1.6287095041038888,1.626910613370955,1.6254803174067098,1.624242148196279
Южный федеральный округ,2.7255806287899795,2.7211275182507486,2.716692864534864,2.709227398086366,2.702305076924473,2.6955784291672162,2.6892904260848147,2.6838024040908537,2.6807675127817037,2.677701357210445,2.673749497722689,2.6701563979829523,2.666254343924448,2.6632014058426186,2.6604593531017233
Maximum value,2.8427366473860767,2.8370980490753386,2.833301523600243,2.8274613754707434,2.8210209963511397,2.8141314331174305,2.807295391846327,2.801792630636173,2.797478061989725,2.795308492550647,2.7908275511930953,2.7859990539901345,2.7814270223232582,2.7776234185901227,2.773826218845741
Maximim FO Name,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ
